Country_Name,Deaths,Confirmed
US,191,8437
US,86,3550
US,434,41855
US,154,10159
US,80,5611
US,332,20923
US,121,7052
US,251,12988
US,88,5681
US,79,6157
US,60,4461
US,34,2397
US,90,4337
US,52,3204
US,406,22355
US,97,5174
US,131,10745
US,73,2993
US,230,13604
US,1064,61099
US,141,6524
US,366,16250
US,1902,120999
US,123,6960
US,15,1168
US,79,4962
US,187,13838
US,97,5403
US,154,8316
US,41,1334
US,98,6962
US,11,726
US,57,2614
US,61,2664
US,18,2011
US,46,2351
US,35,1855
US,335,20886
US,38,3410
US,50,1466
US,66,5003
US,85,2851
US,72,4154
US,27,2067
US,61,3683
US,100,6039
US,33,3001
US,581,40251
US,60,2581
US,64,4659
US,47,2818
US,9,1133
US,238,25913
US,51,1998
US,451,0
US,10,868
US,423,28529
US,48,2151
US,266,14874
US,87,4548
US,16,1058
US,168,9993
US,43,3095
US,207,8996
US,82,3597
US,56,3741
US,48,4921
US,32,927
US,4,373
US,52,1666
US,49,1391
US,14,566
US,56,2899
US,330,18512
US,36,2936
US,65,3131
US,35,2218
US,40,4591
US,36,1847
US,13,1552
US,53,3043
US,56,1496
US,24,2095
US,100,5996
US,39,1714
US,18,1336
US,24,1159
US,27,2284
US,58,1839
US,95,5961
US,43,3077
US,102,12293
US,25,977
US,10,708
US,43,2277
US,80,5507
US,46,2605
US,217,14164
US,41,1426
US,44,2089
US,42,1784
US,23,1424
US,10,700
US,11,884
US,34,1502
US,32,1320
US,52,2031
US,35,1619
US,46,2125
US,75,1924
US,39,3273
US,22,1106
US,26,1391
US,37,1015
US,24,1656
US,43,2365
US,75,4882
US,37,1566
US,89,15885
US,58,3184
US,32,1083
US,68,2375
US,69,4752
US,349,23994
US,49,1450
US,23,853
US,41,1685
US,19,1849
US,52,2571
US,81,4168
US,79,5370
US,24,1780
US,43,1359
US,32,916
US,33,1072
US,38,1123
US,107,5344
US,61,2077
US,17,822
US,23,2129
US,24,1217
US,82,4216
US,23,912
US,659,63926
US,180,12473
US,36,1708
US,26,611
US,20,1394
US,254,22060
US,39,1428
US,74,5332
US,48,11512
US,73,2261
US,12,709
US,0,8
US,37,1358
US,18,660
US,127,4750
US,92,6441
US,53,2859
US,23,616
US,102,6016
US,31,1575
US,37,2086
US,232,16215
US,8,893
US,40,2091
US,23,1587
US,20,971
US,23,2035
US,7,417
US,51,2991
US,36,2162
US,39,1424
US,104,9180
US,3,303
US,7,363
US,70,3343
US,13,388
US,7,287
US,31,988
US,25,1152
US,24,903
US,11,198
US,117,4725
US,99,6300
US,12,300
US,51,2329
US,26,1281
US,90,11002
US,12,288
US,5,221
US,74,4097
US,25,1283
US,77,6737
US,84,6529
US,50,3212
US,48,4318
US,21,402
US,10,286
US,22,1062
US,14,691
US,1,123
US,11,840
US,1,230
US,19,692
US,74,4243
US,8,479
US,10,224
US,18,1764
US,42,2160
US,6,233
US,837,70526
US,10,649
US,17,919
US,4,276
US,56,3346
US,7,143
US,110,9234
US,5,288
US,11,1184
US,7,325
US,89,4864
US,24,1265
US,28,1327
US,89,3780
US,13,561
US,49,3519
US,18,623
US,95,4670
US,23,704
US,8,292
US,56,1717
US,43,2299
US,16,416
US,28,1300
US,29,1652
US,12,326
US,14,641
US,0,0
US,14,1215
US,25,747
US,36,2537
US,26,1026
US,7,339
US,145,9740
US,13,750
US,13,1211
US,57,7513
US,11,701
US,15,465
US,29,938
US,157,7381
US,25,655
US,858,68486
US,43,4182
US,404,22437
US,14,454
US,13,738
US,3,295
US,13,404
US,6,236
US,11,665
US,55,2640
US,21,1218
US,8,439
US,0,0
US,16,841
US,4,202
US,14,629
US,5,243
US,26,1276
US,8,298
US,321,25627
US,59,2530
US,48,3064
US,28,2397
US,12,554
US,109,6283
US,24,1317
US,68,4763
US,162,17012
US,21,2487
US,85,6731
US,80,4494
US,8,850
US,13,1558
US,20,2183
US,96,9866
US,28,1889
US,34,1827
US,56,4550
US,84,10380
US,10,566
US,21,1488
US,45,3681
US,42,2171
US,113,8328
US,32,4123
US,50,4493
US,32,1637
US,27,880
US,13,876
US,218,14354
US,26,1204
US,2,1168
US,12,1698
US,338,44346
US,26,1751
US,85,5505
US,65,5645
US,16,640
US,35,979
US,37,2066
US,25,3208
US,109,6201
US,61,3401
US,17,1723
